_RowType_,_chk,GAESUL_YEAR,GAESUL_TERM,CAMPUS_GB,CAMPUS_NM,HAKWI_NAME,JUKYONGHAKWI_GB,GRADE_NAME,ISU_NAME,HAKSU_NO,BUNBAN,HAKSU_NO_BUNBAN,GWAMOK_NAME,GWAMOK_ENG_NAME,HAKJUM,PER_NAME,PER_ID,GYOSI_NAME,HYUNGTAE,BIGO,SUUP_TYPE_CD,SUUP_TYPE_NM,BOKSUJUNGONG_YN_NAME,ABEEK_YN,ISU_NAME2,ISU_NAME3,HAKBU_JIBJUNG_GB,HAKBU_JIBJUNG_GB_NM,LECTURE_PLAN_TYPE,ABK_PROGRAM,INTRO_URL,INFORM
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3006,41,SWE3006-41,프로그래밍언어,Programming Languages,3(3),황성재,237066,수12:00-13:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3006,42,SWE3006-42,프로그래밍언어,Programming Languages,3(3),한환수,214970,목15:00-16:15【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3008,41,SWE3008-41,컴퓨터그래픽스개론,Introduction to Computer Graphics,3(3),이성길,218321,화16:30-17:45【26312】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3011,41,SWE3011-41,인공지능개론,Introduction to Artificial Intelligence,3(3),박진영,235368,수15:00-16:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3011,42,SWE3011-42,인공지능개론,Introduction to Artificial Intelligence,3(3),박호건,235371,목10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3022,41,SWE3022-41,컴퓨터네트웍개론,Computer Networks,3(3),추현승,198024,월10:30-11:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3023,41,SWE3023-41,소프트웨어특강1,Special Topics in Software 1,3(3),이선재,244084,월09:00-10:15【85613】/수10:30-11:45【85613】,일반수업,,34,PBL(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,1,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3025,41,SWE3025-41,정보보호개론,Computer Security,3(3),구형준,235946,목16:30-17:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3026,41,SWE3026-41,확률과랜덤프로세스,Probability and Random Process,3(3),우사이먼성일,232184,월13:30-14:45【400112】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3028,41,SWE3028-41,캡스톤설계프로젝트,Capstone Design Project,3(3),아에스아부하메드타메르,233346,금12:00-13:15【85613】/금13:30-14:45【85613】,국제어수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,10,2,자연과학,학사,01,,실험실습,SWE3031,41,SWE3031-41,네트워크프로젝트,Network Project,2(4),염익준,214968,화18:00-18:50【85602】/화19:00-19:50【85602】/화20:00-20:50【85602】/화21:00-21:45【85602】,국제어수업,,31,오프라인,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,실험실습,SWE3031,42,SWE3031-42,네트워크프로젝트,Network Project,2(4),염익준,214968,목18:00-18:50【85602】/목19:00-19:50【85602】/목20:00-20:50【85602】/목21:00-21:45【85602】,일반수업,,31,오프라인,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,실험실습,SWE3032,41,SWE3032-41,인공지능프로젝트,Artificial Intelligence Project,2(4),박호건,235371,월18:00-18:50【26310】/월19:00-19:50【26310】/월20:00-20:50【26310】/월21:00-21:45【26310】,일반수업,,31,오프라인,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,실험실습,SWE3047,41,SWE3047-41,모바일앱프로그래밍실습,Mobile App Programming Lab,2(4),염익준,214968,수18:00-18:50【85613】/수19:00-19:50【85613】/수20:00-20:50【85613】/수21:00-21:45【85613】,국제어수업,,31,오프라인,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3050,41,SWE3050-41,기계학습원론,Fundamentals of machine learning,3(3),아에스아부하메드타메르,233346,수15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3050,42,SWE3050-42,기계학습원론,Fundamentals of machine learning,3(3),이지형,204248,화10:30-11:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3050,43,SWE3050-43,기계학습원론,Fundamentals of machine learning,3(3),조재민,235372,목15:00-16:15【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,지능형소프트웨어학과 전용반,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE3052,41,SWE3052-41,심층신경망개론,Introduction to Deep Neural Networks,3(3),박호건,235371,화13:30-14:45【26312】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,1,,,*플립러닝:1.5h(ON)+1.5h(OFF)
